latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.738136,-74.04254,51.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),snowfall (cm),precipitation (mm),snow_depth (m),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,3.8,65,0.00,0.00,0.00,0.00,5.7,13.8,235,255
2024-01-01T01:00,3.8,60,0.00,0.00,0.00,0.00,6.0,13.1,245,262
2024-01-01T02:00,3.0,65,0.00,0.00,0.00,0.00,6.8,15.4,238,249
2024-01-01T03:00,2.5,68,0.00,0.00,0.00,0.00,8.4,17.7,245,257
2024-01-01T04:00,1.9,74,0.00,0.00,0.00,0.00,6.3,15.9,246,266
2024-01-01T05:00,1.8,76,0.00,0.00,0.00,0.00,8.9,20.4,243,256
2024-01-01T06:00,2.8,74,0.00,0.00,0.00,0.00,11.4,20.9,235,246
2024-01-01T07:00,2.9,74,0.00,0.00,0.00,0.00,9.7,18.3,239,248
2024-01-01T08:00,2.8,76,0.00,0.00,0.00,0.00,8.1,16.5,249,259
2024-01-01T09:00,0.7,88,0.00,0.00,0.00,0.00,7.5,14.5,253,264
2024-01-01T10:00,0.2,91,0.00,0.00,0.00,0.00,8.6,11.9,255,270
2024-01-01T11:00,1.5,88,0.00,0.00,0.00,0.00,3.7,9.4,281,288
2024-01-01T12:00,1.9,86,0.00,0.00,0.00,0.00,5.0,8.9,330,320
2024-01-01T13:00,3.2,81,0.00,0.00,0.00,0.00,4.7,9.4,302,310
2024-01-01T14:00,3.8,77,0.00,0.00,0.00,0.00,5.0,9.8,339,336
2024-01-01T15:00,4.7,72,0.00,0.00,0.00,0.00,6.8,9.4,357,358
2024-01-01T16:00,5.6,69,0.00,0.00,0.00,0.00,6.5,8.3,6,5
2024-01-01T17:00,6.7,64,0.00,0.00,0.00,0.00,6.2,7.6,7,5
2024-01-01T18:00,7.7,59,0.00,0.00,0.00,0.00,8.2,10.1,345,343
2024-01-01T19:00,7.5,59,0.00,0.00,0.00,0.00,8.6,10.3,338,335
2024-01-01T20:00,7.3,58,0.00,0.00,0.00,0.00,8.9,11.0,339,337
2024-01-01T21:00,7.0,59,0.00,0.00,0.00,0.00,8.0,12.1,342,343
2024-01-01T22:00,4.8,72,0.00,0.00,0.00,0.00,6.8,11.0,342,349
2024-01-01T23:00,3.3,79,0.00,0.00,0.00,0.00,7.1,11.3,345,353
2024-01-02T00:00,2.0,87,0.00,0.00,0.00,0.00,7.1,12.8,345,349
2024-01-02T01:00,2.2,79,0.00,0.00,0.00,0.00,11.2,24.3,327,333
2024-01-02T02:00,1.7,70,0.00,0.00,0.00,0.00,13.7,27.7,333,339
2024-01-02T03:00,0.7,73,0.00,0.00,0.00,0.00,14.3,27.5,342,346
2024-01-02T04:00,-0.3,78,0.00,0.00,0.00,0.00,13.7,26.9,346,348
2024-01-02T05:00,-1.1,78,0.00,0.00,0.00,0.00,12.8,25.8,344,345
2024-01-02T06:00,-1.8,79,0.00,0.00,0.00,0.00,12.4,25.0,343,345
2024-01-02T07:00,-2.2,79,0.00,0.00,0.00,0.00,10.8,23.0,345,346
2024-01-02T08:00,-2.8,80,0.00,0.00,0.00,0.00,9.7,21.7,345,349
2024-01-02T09:00,-3.4,83,0.00,0.00,0.00,0.00,8.8,21.1,348,351
2024-01-02T10:00,-3.9,87,0.00,0.00,0.00,0.00,8.4,20.3,350,353
2024-01-02T11:00,-4.2,88,0.00,0.00,0.00,0.00,7.0,18.6,348,350
2024-01-02T12:00,-4.6,89,0.00,0.00,0.00,0.00,6.4,17.7,344,348
2024-01-02T13:00,-2.8,80,0.00,0.00,0.00,0.00,8.1,16.7,315,327
2024-01-02T14:00,-0.9,67,0.00,0.00,0.00,0.00,9.0,13.5,323,326
2024-01-02T15:00,0.6,61,0.00,0.00,0.00,0.00,9.6,12.8,326,328
2024-01-02T16:00,2.2,59,0.00,0.00,0.00,0.00,9.2,11.7,312,313
2024-01-02T17:00,3.7,54,0.00,0.00,0.00,0.00,9.9,12.5,303,303
2024-01-02T18:00,4.8,50,0.00,0.00,0.00,0.00,10.8,13.7,300,300
2024-01-02T19:00,5.6,48,0.00,0.00,0.00,0.00,12.0,15.4,303,303
2024-01-02T20:00,5.7,47,0.00,0.00,0.00,0.00,11.8,15.4,301,303
2024-01-02T21:00,4.9,53,0.00,0.00,0.00,0.00,7.7,16.5,298,302
2024-01-02T22:00,1.5,69,0.00,0.00,0.00,0.00,9.6,16.6,283,292
2024-01-02T23:00,0.4,76,0.00,0.00,0.00,0.00,9.7,16.5,268,281
2024-01-03T00:00,0.0,79,0.00,0.00,0.00,0.00,7.6,18.4,262,276
2024-01-03T01:00,-0.1,78,0.00,0.00,0.00,0.00,7.6,19.7,270,279
2024-01-03T02:00,-0.6,80,0.00,0.00,0.00,0.00,8.5,22.2,282,295
2024-01-03T03:00,-0.6,76,0.00,0.00,0.00,0.00,8.6,22.7,285,297
2024-01-03T04:00,-1.1,77,0.00,0.00,0.00,0.00,7.8,20.9,283,297
2024-01-03T05:00,-1.5,80,0.00,0.00,0.00,0.00,8.0,20.6,278,295
2024-01-03T06:00,-1.6,81,0.00,0.00,0.00,0.00,8.8,22.4,279,294
2024-01-03T07:00,-2.0,84,0.00,0.00,0.00,0.00,8.0,20.3,275,295
2024-01-03T08:00,-2.2,85,0.00,0.00,0.00,0.00,8.0,20.4,275,296
2024-01-03T09:00,-2.3,85,0.00,0.00,0.00,0.00,8.0,20.6,278,297
2024-01-03T10:00,-2.2,84,0.00,0.00,0.00,0.00,8.0,20.8,280,300
2024-01-03T11:00,-2.1,83,0.00,0.00,0.00,0.00,7.6,19.8,278,299
2024-01-03T12:00,-1.9,82,0.00,0.00,0.00,0.00,7.7,19.3,281,299
2024-01-03T13:00,-0.6,77,0.00,0.00,0.00,0.00,9.8,20.3,276,295
2024-01-03T14:00,1.1,74,0.00,0.00,0.00,0.00,9.4,19.7,263,294
2024-01-03T15:00,3.0,65,0.00,0.00,0.00,0.00,10.2,13.5,302,304
2024-01-03T16:00,4.4,61,0.00,0.00,0.00,0.00,9.7,12.3,321,322
2024-01-03T17:00,5.4,58,0.00,0.00,0.00,0.00,10.7,13.8,310,311
2024-01-03T18:00,7.7,48,0.00,0.00,0.00,0.00,13.3,17.0,273,276
2024-01-03T19:00,7.4,50,0.00,0.00,0.00,0.00,13.3,17.3,267,268
2024-01-03T20:00,7.3,51,0.00,0.00,0.00,0.00,10.3,13.1,258,261
2024-01-03T21:00,5.9,59,0.00,0.00,0.00,0.00,8.9,17.3,212,225
2024-01-03T22:00,3.6,67,0.00,0.00,0.00,0.00,14.4,28.8,217,224
2024-01-03T23:00,3.1,69,0.00,0.00,0.00,0.00,13.0,27.5,236,238
2024-01-04T00:00,2.0,77,0.00,0.00,0.00,0.00,8.6,21.3,248,251
2024-01-04T01:00,1.7,75,0.00,0.00,0.00,0.00,8.2,19.4,293,292
2024-01-04T02:00,0.6,82,0.00,0.00,0.00,0.00,5.8,15.9,300,298
2024-01-04T03:00,-0.6,89,0.00,0.00,0.00,0.00,8.0,12.7,297,299
2024-01-04T04:00,-0.1,87,0.00,0.00,0.00,0.00,4.9,10.4,253,270
